filename_id,class_label,defocus_label
holodetect_heamato_2024-10-14_13-32-18.27__hlg_134_idx_9_cnt_404_596_dst_21654.40,0,1.957815391
holodetect_heamato_2024-10-14_13-30-37.466__hlg_42_idx_5_cnt_940_300_dst_16415.03,0,-9.985237259
holodetect_heamato_2024-10-14_13-30-12.487__hlg_19_idx_14_cnt_1272_856_dst_19422.47,0,7.492938751
holodetect_heamato_2024-10-14_13-30-52.625__hlg_56_idx_12_cnt_1624_668_dst_20598.61,0,2.698194245
holodetect_heamato_2024-10-14_13-32-43.286__hlg_156_idx_8_cnt_300_464_dst_18833.28,0,-0.046902881
holodetect_heamato_2024-10-14_13-32-54.601__hlg_166_idx_17_cnt_848_760_dst_19622.35,0,-3.108330932
holodetect_heamato_2024-10-14_13-31-56.605__hlg_114_idx_11_cnt_84_868_dst_21398.62,0,-3.251377331
holodetect_heamato_2024-10-14_13-29-57.264__hlg_4_idx_15_cnt_196_664_dst_20327.70,0,-9.717597393
unfocused_holodetect_heamato_2024-10-14_13-31-28.162__hlg_88_idx_1_cnt_796_132_dst_20564.77,0,-7.761911664
holodetect_heamato_2024-10-14_13-30-49.224__hlg_53_idx_22_cnt_1316_704_dst_15638.50,0,8.063113106
holodetect_heamato_2024-10-14_13-32-34.445__hlg_148_idx_6_cnt_1464_216_dst_16334.28,0,3.279848937
holodetect_heamato_2024-10-14_13-32-48.592__hlg_161_idx_15_cnt_404_508_dst_17515.40,0,5.302618775
unfocused_holodetect_heamato_2024-10-14_13-31-04.895__hlg_67_idx_21_cnt_1164_836_dst_16352.91,0,0.915314206
holodetect_heamato_2024-10-14_13-33-02.219__hlg_173_idx_10_cnt_1036_424_dst_20562.72,0,1.980903695
holodetect_heamato_2024-10-14_13-31-22.537__hlg_83_idx_13_cnt_508_560_dst_17523.65,0,-8.36955084
holodetect_heamato_2024-10-14_13-31-32.498__hlg_92_idx_23_cnt_1140_868_dst_18060.97,0,-6.301010278
holodetect_heamato_2024-10-14_13-33-24.121__hlg_193_idx_7_cnt_628_212_dst_16262.35,0,-2.816676726
unfocused_holodetect_heamato_2024-10-14_13-30-52.625__hlg_56_idx_0_cnt_1348_92_dst_17025.36,0,7.850074863
holodetect_heamato_2024-10-14_13-30-43.710__hlg_48_idx_14_cnt_1732_596_dst_17110.80,0,-4.048426032
unfocused_holodetect_heamato_2024-10-14_13-29-57.264__hlg_4_idx_20_cnt_1784_876_dst_17529.43,0,0.382291206
holodetect_heamato_2024-10-14_13-31-10.572__hlg_72_idx_10_cnt_840_548_dst_20368.07,0,-9.569570031
holodetect_heamato_2024-10-14_13-30-14.553__hlg_21_idx_8_cnt_1676_260_dst_19551.18,0,-3.899746433
holodetect_heamato_2024-10-14_13-30-11.507__hlg_18_idx_10_cnt_848_848_dst_17886.32,0,8.706163511
holodetect_heamato_2024-10-14_13-30-23.166__hlg_29_idx_23_cnt_1544_880_dst_20831.93,0,-7.540833655
holodetect_heamato_2024-10-14_13-32-48.592__hlg_161_idx_28_cnt_424_856_dst_20441.72,0,-1.392703069
holodetect_heamato_2024-10-14_13-30-19.968__hlg_26_idx_13_cnt_1000_700_dst_20200.00,0,0.425681349
holodetect_heamato_2024-10-14_13-32-55.759__hlg_167_idx_13_cnt_664_780_dst_18631.94,0,-4.423835686
holodetect_heamato_2024-10-14_13-31-33.531__hlg_93_idx_2_cnt_1860_132_dst_18325.40,0,-6.123304001
unfocused_holodetect_heamato_2024-10-14_13-32-31.77__hlg_145_idx_6_cnt_596_372_dst_20602.95,0,3.169347678
holodetect_heamato_2024-10-14_13-31-50.49__hlg_108_idx_17_cnt_664_636_dst_15023.47,0,3.269049647
holodetect_heamato_2024-10-14_13-31-41.21__hlg_100_idx_6_cnt_1552_348_dst_18545.15,0,6.297766718
unfocused_holodetect_heamato_2024-10-14_13-31-10.572__hlg_72_idx_4_cnt_744_312_dst_19050.22,0,-9.145465308
holodetect_heamato_2024-10-14_13-32-10.646__hlg_127_idx_2_cnt_516_184_dst_20657.70,0,4.842051392
unfocused_holodetect_heamato_2024-10-14_13-30-46.130__hlg_50_idx_12_cnt_444_900_dst_19210.29,0,7.887472198
holodetect_heamato_2024-10-14_13-30-23.166__hlg_29_idx_18_cnt_1808_664_dst_20713.55,0,-9.956668032
holodetect_heamato_2024-10-14_13-30-35.250__hlg_40_idx_25_cnt_304_904_dst_20344.60,0,-3.439762645
holodetect_heamato_2024-10-14_13-31-50.49__hlg_108_idx_13_cnt_276_476_dst_16142.72,0,-1.037573681
holodetect_heamato_2024-10-14_13-31-59.701__hlg_117_idx_7_cnt_1436_364_dst_18949.43,0,3.388961338
holodetect_heamato_2024-10-14_13-30-13.568__hlg_20_idx_10_cnt_1672_456_dst_20136.15,0,-2.642038635
unfocused_holodetect_heamato_2024-10-14_13-32-25.77__hlg_140_idx_19_cnt_1276_956_dst_20554.96,0,-6.070497013
holodetect_heamato_2024-10-14_13-32-43.286__hlg_156_idx_1_cnt_1312_156_dst_19926.70,0,9.619757585
holodetect_heamato_2024-10-14_13-32-07.244__hlg_124_idx_2_cnt_1708_92_dst_19094.65,0,2.623566537
holodetect_heamato_2024-10-14_13-32-45.439__hlg_158_idx_7_cnt_972_324_dst_18655.40,0,-7.477167411
holodetect_heamato_2024-10-14_13-32-58.970__hlg_170_idx_23_cnt_1468_784_dst_20590.18,0,0.339297857
holodetect_heamato_2024-10-14_13-31-48.814__hlg_107_idx_6_cnt_1360_380_dst_17493.90,0,-4.282703553
holodetect_heamato_2024-10-14_13-30-27.608__hlg_33_idx_14_cnt_1496_872_dst_21046.95,0,-1.426145755
holodetect_heamato_2024-10-14_13-32-21.447__hlg_137_idx_10_cnt_972_696_dst_19958.50,0,6.367590534
holodetect_heamato_2024-10-14_13-30-39.528__hlg_44_idx_20_cnt_1812_956_dst_22055.40,0,5.332272937
holodetect_heamato_2024-10-14_13-30-28.589__hlg_34_idx_5_cnt_1556_300_dst_20374.65,0,-7.673221599
holodetect_heamato_2024-10-14_13-30-49.224__hlg_53_idx_14_cnt_920_476_dst_16901.35,0,-5.224909207
unfocused_holodetect_heamato_2024-10-14_13-32-43.286__hlg_156_idx_7_cnt_328_428_dst_18414.17,0,4.447722504
holodetect_heamato_2024-10-14_13-31-04.895__hlg_67_idx_24_cnt_1384_928_dst_20962.46,0,-4.463690241
holodetect_heamato_2024-10-14_13-31-16.138__hlg_77_idx_19_cnt_260_840_dst_20391.55,0,3.372940866
holodetect_heamato_2024-10-14_13-30-58.251__hlg_61_idx_17_cnt_352_668_dst_16357.75,0,1.67313658
holodetect_heamato_2024-10-14_13-33-13.25__hlg_183_idx_26_cnt_744_760_dst_21720.55,0,-0.14985811
holodetect_heamato_2024-10-14_13-30-55.725__hlg_59_idx_8_cnt_532_532_dst_19993.33,0,-8.30637066
unfocused_holodetect_heamato_2024-10-14_13-29-55.430__hlg_1_idx_11_cnt_1092_660_dst_17529.44,0,-8.960371642
holodetect_heamato_2024-10-14_13-31-23.727__hlg_84_idx_13_cnt_272_864_dst_18941.72,0,-5.240084678
unfocused_holodetect_heamato_2024-10-14_13-30-32.929__hlg_38_idx_19_cnt_788_956_dst_20554.88,0,-2.591769675
holodetect_heamato_2024-10-14_13-30-19.968__hlg_26_idx_14_cnt_280_696_dst_18941.72,0,1.12283288
unfocused_holodetect_heamato_2024-10-14_13-31-42.156__hlg_101_idx_4_cnt_1300_184_dst_16041.09,0,8.157552337
holodetect_heamato_2024-10-14_13-31-07.64__hlg_69_idx_0_cnt_1456_72_dst_21243.10,0,-3.442684522
holodetect_heamato_2024-10-14_13-31-02.680__hlg_65_idx_6_cnt_1812_444_dst_20848.82,0,-3.662455386
holodetect_heamato_2024-10-14_13-32-06.212__hlg_123_idx_5_cnt_1708_304_dst_16357.75,0,2.25934317
holodetect_heamato_2024-10-14_13-30-48.90__hlg_52_idx_2_cnt_1804_204_dst_20141.72,0,8.798406864
holodetect_heamato_2024-10-14_13-30-15.737__hlg_22_idx_7_cnt_1124_180_dst_21126.70,0,-6.643241089
holodetect_heamato_2024-10-14_13-32-50.34__hlg_162_idx_10_cnt_1420_356_dst_19582.35,0,3.586252252
unfocused_holodetect_heamato_2024-10-14_13-32-21.447__hlg_137_idx_18_cnt_1232_956_dst_15026.43,0,0.519562115
holodetect_heamato_2024-10-14_13-31-55.473__hlg_113_idx_12_cnt_1824_712_dst_16655.95,0,-0.969898778
holodetect_heamato_2024-10-14_13-30-48.90__hlg_52_idx_4_cnt_972_264_dst_20071.30,0,5.838423296
holodetect_heamato_2024-10-14_13-30-35.250__hlg_40_idx_8_cnt_1376_388_dst_17702.35,0,-4.984562811
holodetect_heamato_2024-10-14_13-31-36.631__hlg_96_idx_21_cnt_464_688_dst_20141.72,0,-6.227793324
holodetect_heamato_2024-10-14_13-30-08.460__hlg_15_idx_17_cnt_280_952_dst_20582.10,0,-0.576867065
holodetect_heamato_2024-10-14_13-32-39.964__hlg_153_idx_14_cnt_232_516_dst_20353.55,0,-2.47125729
holodetect_heamato_2024-10-14_13-33-10.705__hlg_181_idx_4_cnt_272_132_dst_16570.21,0,-0.234488471
holodetect_heamato_2024-10-14_13-30-54.694__hlg_58_idx_6_cnt_1340_328_dst_16293.10,0,-1.981455249
holodetect_heamato_2024-10-14_13-33-20.37__hlg_189_idx_10_cnt_1292_536_dst_17342.72,0,-6.67057777
holodetect_heamato_2024-10-14_13-32-25.77__hlg_140_idx_6_cnt_1112_504_dst_15383.10,0,-0.974499977
holodetect_heamato_2024-10-14_13-33-07.666__hlg_178_idx_4_cnt_1136_312_dst_15910.97,0,1.522206577
holodetect_heamato_2024-10-14_13-31-38.800__hlg_98_idx_11_cnt_972_808_dst_19947.45,0,-5.269933309
holodetect_heamato_2024-10-14_13-31-06.82__hlg_68_idx_10_cnt_1192_448_dst_19973.65,0,-8.032700165
holodetect_heamato_2024-10-14_13-31-07.64__hlg_69_idx_14_cnt_1860_664_dst_21833.85,0,3.60392592
holodetect_heamato_2024-10-14_13-31-33.531__hlg_93_idx_12_cnt_400_556_dst_21055.03,0,7.213470263
holodetect_heamato_2024-10-14_13-30-49.224__hlg_53_idx_17_cnt_844_600_dst_19968.07,0,-3.727283699
holodetect_heamato_2024-10-14_13-31-02.680__hlg_65_idx_15_cnt_1804_664_dst_17358.62,0,8.533110227
holodetect_heamato_2024-10-14_13-33-17.717__hlg_187_idx_4_cnt_1800_332_dst_16112.72,0,-3.415871471
holodetect_heamato_2024-10-14_13-30-30.709__hlg_36_idx_4_cnt_1400_160_dst_19463.85,0,8.730191886
unfocused_holodetect_heamato_2024-10-14_13-32-37.646__hlg_151_idx_6_cnt_1164_216_dst_17193.37,0,3.329172724
holodetect_heamato_2024-10-14_13-31-10.572__hlg_72_idx_13_cnt_940_700_dst_21149.62,0,-2.416333438
holodetect_heamato_2024-10-14_13-32-48.592__hlg_161_idx_23_cnt_1480_708_dst_19890.43,0,7.955150976
holodetect_heamato_2024-10-14_13-30-23.166__hlg_29_idx_0_cnt_536_68_dst_18983.10,0,-4.420903285
holodetect_heamato_2024-10-14_13-30-07.326__hlg_14_idx_13_cnt_740_648_dst_16576.53,0,3.810184831
holodetect_heamato_2024-10-14_13-32-43.286__hlg_156_idx_6_cnt_404_444_dst_18536.34,0,-7.188250745
holodetect_heamato_2024-10-14_13-32-18.27__hlg_134_idx_3_cnt_72_120_dst_16902.25,0,2.436364114
